CountyName,ZCTA,CPI2000,Nplwha2004,DeathCount2000,DeathCount2001,DeathCount2002,DeathCount2003,DeathCount2004,IndivInPov,PerCapInc,Pop,PovertyPercentage,InLaborForce,Unemployed
Albany,12304,1.037,777,30,39,19,19,20,1677,8930,10485,0.10354747,4911,281
Albany,12306,1.037,777,30,39,19,19,20,734,10433,12291,0.10354747,6233,248.5
Albany,12143,1.037,777,30,39,19,19,20,175,10499,2674,0.10354747,1482,55
Albany,12303,1.037,777,30,39,19,19,20,1188,11383,13971,0.10354747,6978,247
Albany,12309,1.037,777,30,39,19,19,20,429,15500,15029,0.10354747,7235.5,181
Albany,12202,1.037,777,30,39,19,19,20,3387,13974,10021,0.10354747,4641,488
Albany,12206,1.037,777,30,39,19,19,20,4451,15053,16291,0.10354747,7247,572
Albany,12045,1.037,777,30,39,19,19,20,78,16549,746,0.10354747,392,0
Albany,12183,1.037,777,30,39,19,19,20,227,17795,2278,0.10354747,1263,41
Albany,12210,1.037,777,30,39,19,19,20,2563,18358,9492,0.10354747,5306,376
Albany,12047,1.037,777,30,39,19,19,20,2101,19200,18167,0.10354747,9189,363
Albany,12209,1.037,777,30,39,19,19,20,1056,19232,9772,0.10354747,5072,281
Albany,12189,1.037,777,30,39,19,19,20,1736,19733,16783,0.10354747,8805,389
Albany,12203,1.037,777,30,39,19,19,20,3540,20774,32866,0.10354747,19533,3955
Albany,12205,1.037,777,30,39,19,19,20,1470,22388,26337,0.10354747,14020,556
Albany,12158,1.037,777,30,39,19,19,20,390,22506,5779,0.10354747,2770,94
Albany,12208,1.037,777,30,39,19,19,20,2722,23325,21307,0.10354747,11646,640
Albany,12110,1.037,777,30,39,19,19,20,670,24352,20463,0.10354747,11379,818
Albany,12009,1.037,777,30,39,19,19,20,346,26110,7628,0.10354747,4100,133
Albany,12204,1.037,777,30,39,19,19,20,626,27644,6792,0.10354747,3476,186
Albany,12077,1.037,777,30,39,19,19,20,171,28160,5719,0.10354747,3160,297
Albany,12084,1.037,777,30,39,19,19,20,306,31603,4214,0.10354747,2345,45
Albany,12186,1.037,777,30,39,19,19,20,189,31821,6461,0.10354747,3615,118
Albany,12054,1.037,777,30,39,19,19,20,356,32859,16421,0.10354747,8527,194
Albany,12211,1.037,777,30,39,19,19,20,405,33703,10684,0.10354747,5400,100
Albany,12159,1.037,777,30,39,19,19,20,310,36728,7646,0.10354747,3892,67
Albany,12207,1.037,777,30,39,19,19,20,1056,9433,2187,0.10354747,619,125
Allegany,14437,1.042,11,0,0,0,0,0,426,5137,4099,0.13875615,1696.666667,136
Allegany,14843,1.042,11,0,0,0,0,0,1173,8057,6692,0.13875615,3155.5,258.5
Allegany,14807,1.042,11,0,0,0,0,0,149,8628,1560,0.13875615,720.5,56
Allegany,14770,1.042,11,0,0,0,0,0,197,8697,1635,0.13875615,839,49.5
Allegany,14802,1.042,11,0,0,0,0,0,400,8224,3954,0.13875615,2279,447
Allegany,14895,1.042,11,0,0,0,0,0,1575,17833,10311,0.13875615,4736,420
Bronx,11370,1.223,20416,476,466,438,472,418,1946,7955,21571,0.2993058,6871,606.5
Bronx,10463,1.223,20416,476,466,438,472,418,5521,11485,32788,0.2993058,14326.5,1276.5
Bronx,10474,1.223,20416,476,466,438,472,418,5319,7030,11354,0.2993058,3361,920
Bronx,10454,1.223,20416,476,466,438,472,418,16658,8831,34976,0.2993058,10142,2617
Bronx,10452,1.223,20416,476,466,438,472,418,29377,9033,72138,0.2993058,25433,4738
Bronx,10455,1.223,20416,476,466,438,472,418,14986,9403,37465,0.2993058,11726,2578
Bronx,10456,1.223,20416,476,466,438,472,418,33765,9641,76656,0.2993058,23259,4715
Bronx,10459,1.223,20416,476,466,438,472,418,17253,9667,39080,0.2993058,11918,2430
Bronx,10460,1.223,20416,476,466,438,472,418,20999,9772,53707,0.2993058,18021,3437
Bronx,10453,1.223,20416,476,466,438,472,418,30464,10047,76775,0.2993058,26134,5122
Bronx,10457,1.223,20416,476,466,438,472,418,28751,10113,69048,0.2993058,23777,5091
Bronx,10458,1.223,20416,476,466,438,472,418,29342,10415,77840,0.2993058,27984,4955
Bronx,10451,1.223,20416,476,466,438,472,418,15444,11268,40961,0.2993058,13614,2673
Bronx,10468,1.223,20416,476,466,438,472,418,27306,11788,78309,0.2993058,28830,4854
Bronx,10472,1.223,20416,476,466,438,472,418,22330,11806,64867,0.2993058,22913,3802
Bronx,10473,1.223,20416,476,466,438,472,418,15677,12923,56166,0.2993058,20739,2796
Bronx,10467,1.223,20416,476,466,438,472,418,24552,14152,94342,0.2993058,38033,4601
Bronx,10462,1.223,20416,476,466,438,472,418,13902,16543,72077,0.2993058,31449,3175
Bronx,10466,1.223,20416,476,466,438,472,418,14109,16570,68787,0.2993058,30459,3031
Bronx,10469,1.223,20416,476,466,438,472,418,8393,18630,63345,0.2993058,27932,2521
Bronx,10461,1.223,20416,476,466,438,472,418,5820,20315,49808,0.2993058,21410,1246
Bronx,10470,1.223,20416,476,466,438,472,418,2290,20482,15780,0.2993058,7927,724
Bronx,10475,1.223,20416,476,466,438,472,418,3390,20785,38086,0.2993058,17507,1269
Bronx,10465,1.223,20416,476,466,438,472,418,4682,21273,42500,0.2993058,18543,1143
Bronx,10464,1.223,20416,476,466,438,472,418,181,31402,4634,0.2993058,2516,71
Bronx,10471,1.223,20416,476,466,438,472,418,1571,36107,23413,0.2993058,11728,1052
Broome,13760,0.961,231,2,4,6,4,7,1918,10692,21977,0.12618786,11064,496
Broome,13748,0.961,231,2,4,6,4,7,467,16482,4067,0.12618786,1883,66
